STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
17700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17700.00,84692,-9400,-9.990222335586449,1118454,14.12,26.5,3.6000000000000014,15.720524017467255,280150,601900,550,26.05,1100,26.5,17562
17700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17700.00,9770,-836,-7.882330756175749,86690,14.46,156.2,-165.65000000000003,-51.46807519030605,213150,52850,2100,155.05,500,156.2,17562
17750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17750.00,39708,-4109,-9.377638815984664,471164,14.61,18.0,0.3000000000000007,1.6949152542372925,196250,317500,100,17.25,7950,18.0,17562
17750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17750.00,3302,-37,-1.108116202455825,5421,14.67,196.5,-174.95,-47.099205815049125,276450,40200,750,194.85,50,197.25,17562
17800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17800.00,95784,-9113,-8.68756971124055,809109,15.05,12.0,-1.6999999999999993,-12.408759124087588,748600,752150,50,11.65,16600,12.0,17562
17800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17800.00,5151,-324,-5.917808219178082,22614,15.42,241.25,-175.5,-42.11157768446311,289000,51650,50,239.4,100,242.9,17562
17850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17850.00,35109,6289,21.82165163081193,242992,15.52,8.0,-2.85,-26.26728110599078,250600,248650,100,7.8,100,8.05,17562
17850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17850.00,723,-25,-3.342245989304813,2773,14.24,283.8,-190.8,-40.202275600505686,264850,38350,100,284.6,100,289.95,17562
17900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17900.00,59804,-5881,-8.953337900586131,484772,16.12,5.5,-3.1999999999999997,-36.78160919540229,416850,294250,100,5.35,2050,5.5,17562
17900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17900.00,1661,-211,-11.27136752136752,2016,16.79,334.8,-177.2,-34.609375,251100,32600,50,333.05,100,336.5,17562
17950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17950.00,17921,-4588,-20.38295792793993,106821,16.49,3.55,-3.65,-50.69444444444445,259350,123500,650,3.55,750,4.45,17562
17950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17950.00,957,-13,-1.3402061855670102,928,18.85,385.0,-185.15,-32.473910374462854,127850,30050,100,370.35,100,386.05,17562
18000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18000.00,121152,1669,1.396851434932166,563372,18.18,3.5,-2.8,-44.44444444444444,474850,597500,3750,3.35,750,3.65,17562
18000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18000.00,10697,2708,33.89660783577419,14092,20.12,434.05,-197.24999999999997,-31.24504989703785,505750,41100,600,432.05,150,435.35,17562
18050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18050.00,13679,-8385,-38.00308194343727,82049,19.29,2.95,-2.3,-43.8095238095238,131100,118600,400,2.4,950,2.95,17562
18050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18050.00,67,2,3.076923076923077,12,19.96,481.7,-178.55,-27.04278682317304,98650,27350,100,478.15,100,517.05,17562
18100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18100.00,41111,-7446,-15.334555264946353,219150,20.49,2.6,-2.1,-44.680851063829785,326450,155950,300,2.3,1550,2.6,17562
18100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18100.00,179,-29,-13.942307692307692,313,21.97,532.0,-180.70000000000005,-25.35428651606567,80400,35050,100,527.95,50,539.35,17562
18150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18150.00,7417,-1924,-20.59736644898833,32545,20.32,1.5,-2.75,-64.70588235294117,123750,96200,1200,1.55,1700,2.75,17562
18150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18150.00,40,0,0.0,19,72.57,739.0,-25.149999999999977,-3.2912386311588007,65350,31750,100,545.1,50,625.35,17562
18200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18200.00,48240,-14108,-22.627830884711617,212392,22.88,2.1,-1.65,-44.0,936950,189600,36700,2.1,2800,2.2,17562
18200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18200.00,96,-9,-8.571428571428571,28,49.8,688.0,-119.60000000000002,-14.80931154036652,569700,29900,100,623.1,150,633.6,17562
18250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18250.00,6606,-1261,-16.02898182280412,18485,24.21,2.0,-1.6,-44.44444444444445,182100,117700,50,1.85,2000,2.0,17562
18250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18250.00,30,-4,-11.764705882352942,4,69.32,800.9,-56.60000000000002,-6.600583090379011,95700,21050,50,672.5,50,733.05,17562
18300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18300.00,30438,-10951,-26.45872091618546,151294,25.11,1.7,-1.7,-50.0,744550,131900,500,1.75,2500,2.0,17562
18300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18300.00,42,0,0.0,1,90.21,927.1,220.55000000000007,31.21505908994411,39750,29700,100,720.85,100,780.15,17562
18350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18350.00,3705,-1203,-24.51100244498777,10430,27.07,1.95,-1.2,-38.095238095238095,86600,65000,1550,1.65,5600,2.0,17562
18350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18350.00,24,0,0.0,0,0.0,753.6,0.0,0.0,21200,22000,100,742.0,50,823.3,17562
18400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18400.00,29483,-8498,-22.37434506727048,112589,27.76,1.6,-1.4,-46.66666666666666,341150,104850,5950,1.6,800,1.75,17562
18400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18400.00,24,-3,-11.11111111111111,12,58.37,884.85,-129.75,-12.788290952099349,15050,21050,100,796.6,50,863.2,17562
18450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18450.00,4832,185,3.981063051431031,5911,29.04,1.55,-1.2,-43.63636363636363,207550,56800,500,1.5,650,1.7,17562
18450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18450.00,4,4,0.0,18,76.57,987.9,-529.3000000000001,-34.88663327181651,15300,20500,300,876.5,50,885.55,17562
18500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18500.00,78370,-599,-0.7585254973470602,211479,30.56,1.6,-1.0499999999999998,-39.62264150943396,1641900,159050,1550,1.6,4450,1.75,17562
18500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18500.00,36,-57,-61.29032258064516,81,33.82,931.15,-175.94999999999993,-15.89287327251377,16500,29050,100,906.1,100,934.6,17562
18550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18550.00,740,-101,-12.009512485136742,1220,31.67,1.5,-1.0499999999999998,-41.17647058823529,72750,53600,50,1.5,950,1.85,17562
